Date : 2025-05-13 12:50:17
Directory : /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage
Total : 193 files,  19434 codes, 1337 comments, 2361 blanks, all 23132 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| ios/Runner (Files)                                                                                                                                |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                                                        |          3 |        148 |          0 |          4 |        152 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                     |          1 |        122 |          0 |          1 |        123 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                   |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                             |          2 |         61 |          2 |          2 |         65 |
| ios/RunnerTests                                                                                                                                   |          1 |          7 |          2 |          4 |         13 |
| lib                                                                                                                                               |        117 |     15,056 |        906 |      1,605 |     17,567 |
| lib (Files)                                                                                                                                       |          1 |        182 |         20 |         22 |        224 |
| lib/core                                                                                                                                          |         45 |      4,260 |        482 |        548 |      5,290 |
| lib/core/animations                                                                                                                               |          1 |        185 |         13 |         20 |        218 |
| lib/core/config                                                                                                                                   |          1 |          6 |          0 |          1 |          7 |
| lib/core/constants                                                                                                                                |          7 |        801 |         36 |         56 |        893 |
| lib/core/database                                                                                                                                 |          1 |          9 |          2 |          4 |         15 |
| lib/core/di                                                                                                                                       |          1 |         48 |         20 |         16 |         84 |
| lib/core/errors                                                                                                                                   |          1 |         49 |          4 |          7 |         60 |
| lib/core/l10n                                                                                                                                     |          1 |         18 |          0 |          4 |         22 |
| lib/core/navigation                                                                                                                               |          1 |         31 |          0 |          3 |         34 |
| lib/core/services                                                                                                                                 |          8 |        871 |         68 |        129 |      1,068 |
| lib/core/theme                                                                                                                                    |          2 |        100 |         35 |         31 |        166 |
| lib/core/utils                                                                                                                                    |          7 |        466 |         70 |         84 |        620 |
| lib/core/utils (Files)                                                                                                                            |          5 |        404 |         70 |         74 |        548 |
| lib/core/utils/helpers                                                                                                                            |          1 |         25 |          0 |          6 |         31 |
| lib/core/utils/validators                                                                                                                         |          1 |         37 |          0 |          4 |         41 |
| lib/core/widgets                                                                                                                                  |         14 |      1,676 |        234 |        193 |      2,103 |
| lib/features                                                                                                                                      |         71 |     10,614 |        404 |      1,035 |     12,053 |
| lib/features/activities                                                                                                                           |         16 |      2,508 |         55 |        177 |      2,740 |
| lib/features/activities/data                                                                                                                      |          2 |        240 |         19 |         36 |        295 |
| lib/features/activities/data/models                                                                                                               |          1 |         70 |          0 |         13 |         83 |
| lib/features/activities/data/repositories                                                                                                         |          1 |        170 |         19 |         23 |        212 |
| lib/features/activities/domain                                                                                                                    |          5 |        207 |         12 |         34 |        253 |
| lib/features/activities/domain/entities                                                                                                           |          1 |         16 |          0 |          2 |         18 |
| lib/features/activities/domain/services                                                                                                           |          1 |         74 |          1 |         14 |         89 |
| lib/features/activities/domain/usecases                                                                                                           |          3 |        117 |         11 |         18 |        146 |
| lib/features/activities/presentation                                                                                                              |          9 |      2,061 |         24 |        107 |      2,192 |
| lib/features/activities/presentation/screens                                                                                                      |          4 |      1,524 |         18 |         70 |      1,612 |
| lib/features/activities/presentation/widgets                                                                                                      |          5 |        537 |          6 |         37 |        580 |
| lib/features/auth                                                                                                                                 |          3 |        357 |          8 |         33 |        398 |
| lib/features/auth/data                                                                                                                            |          2 |         86 |          2 |         21 |        109 |
| lib/features/auth/data/models                                                                                                                     |          1 |         31 |          0 |          8 |         39 |
| lib/features/auth/data/services                                                                                                                   |          1 |         55 |          2 |         13 |         70 |
| lib/features/auth/presentation                                                                                                                    |          1 |        271 |          6 |         12 |        289 |
| lib/features/auth/presentation/screens                                                                                                            |          1 |        271 |          6 |         12 |        289 |
| lib/features/calendar                                                                                                                             |          1 |        261 |         11 |         18 |        290 |
| lib/features/calendar/presentation                                                                                                                |          1 |        261 |         11 |         18 |        290 |
| lib/features/calendar/presentation/screens                                                                                                        |          1 |        261 |         11 |         18 |        290 |
| lib/features/dashboard                                                                                                                            |         14 |      3,131 |         94 |        315 |      3,540 |
| lib/features/dashboard/controllers                                                                                                                |          1 |        525 |         52 |         83 |        660 |
| lib/features/dashboard/domain                                                                                                                     |          1 |        176 |          1 |         25 |        202 |
| lib/features/dashboard/presentation                                                                                                               |         12 |      2,430 |         41 |        207 |      2,678 |
| lib/features/dashboard/presentation/screens                                                                                                       |          1 |        210 |          9 |         26 |        245 |
| lib/features/dashboard/presentation/services                                                                                                      |          1 |        176 |          1 |         25 |        202 |
| lib/features/dashboard/presentation/widgets                                                                                                       |         10 |      2,044 |         31 |        156 |      2,231 |
| lib/features/habits                                                                                                                               |         14 |      1,655 |         96 |        219 |      1,970 |
| lib/features/habits/cubit                                                                                                                         |          2 |        133 |          0 |         18 |        151 |
| lib/features/habits/data                                                                                                                          |          4 |        414 |          1 |         66 |        481 |
| lib/features/habits/data/models                                                                                                                   |          2 |        120 |          0 |         24 |        144 |
| lib/features/habits/data/repositories                                                                                                             |          2 |        294 |          1 |         42 |        337 |
| lib/features/habits/domain                                                                                                                        |          4 |        382 |         86 |         82 |        550 |
| lib/features/habits/domain/entities                                                                                                               |          1 |         18 |          0 |          4 |         22 |
| lib/features/habits/domain/repositories                                                                                                           |          1 |         10 |          0 |          2 |         12 |
| lib/features/habits/domain/services                                                                                                               |          1 |        290 |         77 |         67 |        434 |
| lib/features/habits/domain/usecases                                                                                                               |          1 |         64 |          9 |          9 |         82 |
| lib/features/habits/presentation                                                                                                                  |          4 |        726 |          9 |         53 |        788 |
| lib/features/habits/presentation/screens                                                                                                          |          1 |        309 |          3 |         26 |        338 |
| lib/features/habits/presentation/widgets                                                                                                          |          3 |        417 |          6 |         27 |        450 |
| lib/features/home                                                                                                                                 |          1 |         74 |          5 |          9 |         88 |
| lib/features/home/presentation                                                                                                                    |          1 |         74 |          5 |          9 |         88 |
| lib/features/home/presentation/screens                                                                                                            |          1 |         74 |          5 |          9 |         88 |
| lib/features/settings                                                                                                                             |          6 |        673 |         14 |         62 |        749 |
| lib/features/settings/data                                                                                                                        |          2 |         93 |          0 |         23 |        116 |
| lib/features/settings/data/models                                                                                                                 |          1 |         52 |          0 |         12 |         64 |
| lib/features/settings/data/services                                                                                                               |          1 |         41 |          0 |         11 |         52 |
| lib/features/settings/presentation                                                                                                                |          4 |        580 |         14 |         39 |        633 |
| lib/features/settings/presentation/providers                                                                                                      |          1 |         45 |          0 |         11 |         56 |
| lib/features/settings/presentation/screens                                                                                                        |          2 |        438 |         10 |         19 |        467 |
| lib/features/settings/presentation/widgets                                                                                                        |          1 |         97 |          4 |          9 |        110 |
| lib/features/tasks                                                                                                                                |          9 |        382 |          0 |         57 |        439 |
| lib/features/tasks/cubit                                                                                                                          |          1 |         27 |          0 |          8 |         35 |
| lib/features/tasks/data                                                                                                                           |          6 |        127 |          0 |         27 |        154 |
| lib/features/tasks/data/models                                                                                                                    |          2 |         34 |          0 |          8 |         42 |
| lib/features/tasks/data/repositories                                                                                                              |          4 |         93 |          0 |         19 |        112 |
| lib/features/tasks/presentation                                                                                                                   |          2 |        228 |          0 |         22 |        250 |
| lib/features/tasks/presentation/screens                                                                                                           |          1 |        129 |          0 |         10 |        139 |
| lib/features/tasks/presentation/widgets                                                                                                           |          1 |         99 |          0 |         12 |        111 |
| lib/features/timeblocks                                                                                                                           |          7 |      1,573 |        121 |        145 |      1,839 |
| lib/features/timeblocks/data                                                                                                                      |          2 |        333 |         81 |         53 |        467 |
| lib/features/timeblocks/data/models                                                                                                               |          1 |        114 |         27 |         21 |        162 |
| lib/features/timeblocks/data/repositories                                                                                                         |          1 |        219 |         54 |         32 |        305 |
| lib/features/timeblocks/presentation                                                                                                              |          5 |      1,240 |         40 |         92 |      1,372 |
| lib/features/timeblocks/presentation/screens                                                                                                      |          3 |        794 |         38 |         61 |        893 |
| lib/features/timeblocks/presentation/widgets                                                                                                      |          2 |        446 |          2 |         31 |        479 |
| linux                                                                                                                                             |          9 |        325 |         37 |         92 |        454 |
| linux (Files)                                                                                                                                     |          1 |        104 |          0 |         25 |        129 |
| linux/flutter                                                                                                                                     |          4 |        105 |          9 |         27 |        141 |
| linux/runner                                                                                                                                      |          4 |        116 |         28 |         40 |        184 |
| macos                                                                                                                                             |          6 |        453 |          5 |         16 |        474 |
| macos/Flutter                                                                                                                                     |          1 |         12 |          3 |          4 |         19 |
| macos/Runner                                                                                                                                      |          4 |        434 |          0 |          8 |        442 |
| macos/Runner (Files)                                                                                                                              |          2 |         23 |          0 |          7 |         30 |
| macos/Runner/Assets.xcassets                                                                                                                      |          1 |         68 |          0 |          0 |         68 |
| macos/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                   |          1 |         68 |          0 |          0 |         68 |
| macos/Runner/Base.lproj                                                                                                                           |          1 |        343 |          0 |          1 |        344 |
| macos/RunnerTests                                                                                                                                 |          1 |          7 |          2 |          4 |         13 |
| test                                                                                                                                              |         12 |      1,431 |        170 |        265 |      1,866 |
| test (Files)                                                                                                                                      |          1 |         23 |         11 |          7 |         41 |
| test/features                                                                                                                                     |          1 |        126 |         18 |         22 |        166 |
| test/features/habits                                                                                                                              |          1 |        126 |         18 |         22 |        166 |
| test/features/habits/domain                                                                                                                       |          1 |        126 |         18 |         22 |        166 |
| test/features/habits/domain/usecases                                                                                                              |          1 |        126 |         18 |         22 |        166 |
| test/widgets                                                                                                                                      |         10 |      1,282 |        141 |        236 |      1,659 |
| web                                                                                                                                               |          2 |         54 |         15 |          5 |         74 |
| windows                                                                                                                                           |         14 |        675 |         94 |        188 |        957 |
| windows (Files)                                                                                                                                   |          1 |         89 |          0 |         20 |        109 |
| windows/flutter                                                                                                                                   |          4 |        124 |          9 |         29 |        162 |
| windows/runner                                                                                                                                    |          9 |        462 |         85 |        139 |        686 |
+---------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                          | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/.continue/assistant.yaml                                                    | YAML            |         29 |          2 |          3 |         34 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/.continue/models/new-model-1.yaml                                           | YAML            |         11 |          0 |          1 |         12 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/.continue/models/new-model-2.yaml                                           | YAML            |         11 |          0 |          1 |         12 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/.continue/models/new-model.yaml                                             | YAML            |         12 |          0 |          1 |         13 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/.continue/rules/new-rule.yaml                                               | YAML            |          5 |          0 |          1 |          6 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/API_GUIDE.md                                                                | Markdown        |        283 |          0 |         41 |        324 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/API_GUIDE_EXTENSION.md                                                      | Markdown        |        253 |          0 |         37 |        290 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/README.md                                                                   | Markdown        |         10 |          0 |          7 |         17 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/REFACTORIZACIÓN.md                                                          | Markdown        |        195 |          0 |         50 |        245 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/analysis_options.yaml                                                       | YAML            |          3 |         22 |          4 |         29 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/app/src/debug/AndroidManifest.xml                                   | XML             |          3 |          4 |          1 |          8 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/app/src/main/AndroidManifest.xml                                    | XML             |         34 |         11 |          1 |         46 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/app/src/main/res/drawable-v21/launch_background.xml                 | XML             |          4 |          7 |          2 |         13 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/app/src/main/res/drawable/launch_background.xml                     | XML             |          4 |          7 |          2 |         13 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml                  | XML             |          5 |          0 |          1 |          6 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/app/src/main/res/values-night/styles.xml                            | XML             |          9 |          9 |          1 |         19 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/app/src/main/res/values/colors.xml                                  | XML             |          4 |          0 |          0 |          4 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/app/src/main/res/values/styles.xml                                  | XML             |          9 |          9 |          1 |         19 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/app/src/profile/AndroidManifest.xml                                 | XML             |          3 |          4 |          1 |          8 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/gradle.properties                                                   | Java Properties |          3 |          0 |          1 |          4 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/android/gradle/wrapper/gradle-wrapper.properties                            | Java Properties |          5 |          0 |          1 |          6 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/api_documentation.yaml                                                      | YAML            |        225 |          0 |          8 |        233 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/build.yaml                                                                  | YAML            |         12 |          0 |          0 |         12 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/ios/Runner/AppDelegate.swift                                                | Swift           |         12 |          0 |          2 |         14 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json                 | JSON            |        122 |          0 |          1 |        123 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json               | JSON            |         23 |          0 |          1 |         24 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md                   | Markdown        |          3 |          0 |          2 |          5 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/ios/Runner/Base.lproj/LaunchScreen.storyboard                               | XML             |         36 |          1 |          1 |         38 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/ios/Runner/Base.lproj/Main.storyboard                                       | XML             |         25 |          1 |          1 |         27 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/ios/Runner/Runner-Bridging-Header.h                                         | C++             |          1 |          0 |          1 |          2 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/ios/RunnerTests/RunnerTests.swift                                           | Swift           |          7 |          2 |          4 |         13 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/l10n.yaml                                                                   | YAML            |          6 |          0 |          0 |          6 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/animations/app_animations.dart                                     | Dart            |        185 |         13 |         20 |        218 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/config/api_config.dart                                             | Dart            |          6 |          0 |          1 |          7 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/constants/accessibility_styles.dart                                | Dart            |         42 |          6 |          8 |         56 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/constants/app_animations.dart                                      | Dart            |         49 |          4 |          5 |         58 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/constants/app_colors.dart                                          | Dart            |        150 |         11 |         16 |        177 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/constants/app_strings.dart                                         | Dart            |         50 |         10 |         10 |         70 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/constants/app_styles.dart                                          | Dart            |        494 |          2 |         12 |        508 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/constants/constants.dart                                           | Dart            |          3 |          0 |          1 |          4 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/constants/env.dart                                                 | Dart            |         13 |          3 |          4 |         20 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/database/hive_init.dart                                            | Dart            |          9 |          2 |          4 |         15 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/di/service_locator.dart                                            | Dart            |         48 |         20 |         16 |         84 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/errors/app_exception.dart                                          | Dart            |         49 |          4 |          7 |         60 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/l10n/app_localizations.dart                                        | Dart            |         18 |          0 |          4 |         22 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/navigation/app_router.dart                                         | Dart            |         31 |          0 |          3 |         34 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/services/ai_command_service.dart                                   | Dart            |         89 |          0 |         10 |         99 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/services/local_storage.dart                                        | Dart            |         55 |         12 |         13 |         80 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/services/navigation_service.dart                                   | Dart            |         14 |          0 |          6 |         20 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/services/notification_service.dart                                 | Dart            |         40 |          0 |          4 |         44 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/services/service_locator.dart                                      | Dart            |         84 |         29 |         20 |        133 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/services/speech_service.dart                                       | Dart            |         31 |          0 |          8 |         39 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/services/tempo_sage_api_service.dart                               | Dart            |        266 |         16 |         33 |        315 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/services/voice_command_service.dart                                | Dart            |        292 |         11 |         35 |        338 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/theme/theme_extensions.dart                                        | Dart            |         42 |         15 |         14 |         71 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/theme/theme_manager.dart                                           | Dart            |         58 |         20 |         17 |         95 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/utils/date_time_helper.dart                                        | Dart            |         79 |         19 |         13 |        111 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/utils/date_time_utils.dart                                         | Dart            |         90 |         17 |         15 |        122 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/utils/error_handler.dart                                           | Dart            |         73 |          9 |          7 |         89 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/utils/helpers/date_formatter.dart                                  | Dart            |         25 |          0 |          6 |         31 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/utils/logger.dart                                                  | Dart            |        118 |         21 |         24 |        163 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/utils/string_similarity.dart                                       | Dart            |         44 |          4 |         15 |         63 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/utils/validators/form_validators.dart                              | Dart            |         37 |          0 |          4 |         41 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/accessible_app.dart                                        | Dart            |        183 |         29 |         28 |        240 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/accessible_button.dart                                     | Dart            |        110 |          2 |          6 |        118 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/accessible_card.dart                                       | Dart            |         93 |         19 |          7 |        119 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/accessible_scaffold.dart                                   | Dart            |         88 |         22 |         21 |        131 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/animated_list_item.dart                                    | Dart            |         78 |         16 |         14 |        108 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/bottom_navigation.dart                                     | Dart            |        100 |         21 |          6 |        127 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/custom_app_bar.dart                                        | Dart            |        127 |         25 |         11 |        163 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/expandable_fab.dart                                        | Dart            |        252 |         34 |         27 |        313 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/hover_scale.dart                                           | Dart            |         89 |         16 |         16 |        121 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/mobile_animated_list.dart                                  | Dart            |        159 |         28 |         27 |        214 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/page_transitions.dart                                      | Dart            |         93 |          3 |         10 |        106 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/themed_widget_wrapper.dart                                 | Dart            |         48 |          6 |          7 |         61 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/unified_display_card.dart                                  | Dart            |        245 |          4 |          8 |        257 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/core/widgets/widgets.dart                                               | Dart            |         11 |          9 |          5 |         25 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/data/models/activity_model.dart                     | Dart            |         70 |          0 |         13 |         83 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/data/repositories/activity_repository.dart          | Dart            |        170 |         19 |         23 |        212 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/domain/entities/activity.dart                       | Dart            |         16 |          0 |          2 |         18 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/domain/services/activity_to_timeblock_service.dart  | Dart            |         74 |          1 |         14 |         89 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/domain/usecases/analyze_patterns_use_case.dart      | Dart            |         36 |          4 |          6 |         46 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/domain/usecases/predict_productivity_use_case.dart  | Dart            |         41 |          3 |          6 |         50 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/domain/usecases/suggest_optimal_time_use_case.dart  | Dart            |         40 |          4 |          6 |         50 |
| /home/anuar/Documentos/Proyectos/TempoSage/Tempo_Sage_Movil/temposage/lib/features/activities/presentation/screens/activities_screen.dart         | Dart            |        212 |          0 |          8 |        220 |
